thoi_gian,du_bao_muc_nuoc_m
2021-12-31 01:00:00,112.39519961332023
2021-12-31 02:00:00,112.33537119855049
2021-12-31 03:00:00,112.04946311787744
2021-12-31 04:00:00,112.04185482783737
2021-12-31 05:00:00,112.03849357603399
2021-12-31 06:00:00,112.03665667506581
2021-12-31 07:00:00,112.0357373563869
2021-12-31 08:00:00,112.03539013539219
2021-12-31 09:00:00,112.03541336316164
2021-12-31 10:00:00,112.0356816211264
2021-12-31 11:00:00,112.03611161951517
2021-12-31 12:00:00,112.03664565895457
2021-12-31 13:00:00,112.03724257847081
2021-12-31 14:00:00,112.03787297330184
2021-12-31 15:00:00,112.03851557979107
2021-12-31 16:00:00,112.03915542513614
2021-12-31 17:00:00,112.03978192020686
2021-12-31 18:00:00,112.0403878917215
2021-12-31 19:00:00,112.04096867135381
2021-12-31 20:00:00,112.04152132716726
2021-12-31 21:00:00,112.0420442935646
2021-12-31 22:00:00,112.04253691584158
2021-12-31 23:00:00,112.04299930785979
2022-01-01 00:00:00,112.0434319535311
